brand,count
ARAL,2422
Shell,1821
ESSO,1076
TotalEnergies,771
AVIA,751
JET,713
STAR,570
AGIP ENI,449
Raiffeisen,428
HEM,422
OMV,293
OIL!,250
bft,246
BFT,241
Freie Tankstelle,213
SB,209
Westfalen,170
CLASSIC,160
Supermarkt-Tankstelle,150
Sprint,116
ED,108
AVIA XPress,105
Hoyer,103
Q1,102
BayWa,97
freie Tankstelle,97
team,94
ELAN,85
Esso,83
Freie,80
TOTAL,78
PM,68
NORDOEL,64
Tankcenter,61
bft - Walther,61
Tankstelle,60
Markant,59
Access,56
SCORE,55
T,52
TotalEnergies Autohof,51
Globus SB Warenhaus,51
Frei,49
Calpam,49
Greenline,45
GULF,43
Roth- Energie,42
Tankpoint,38
Supermarkt,37
TotalEnergies Truckstop,37
V-Markt,36
RAN,34
SHELL,33
Agip,33
AVIA Xpress,31
M1,31
Markenfreie TS,29
GO,29
bft-willer,28
TAS,27
SB-Markttankstelle,27
BK,27
Bavaria Petrol,27
Marktkauf,27
MTB,26
ZG Raiffeisen Energie,26
"Supermarkt-Tankstelle am real,- Markt",26
AVEX,25
VR PLUS Energie,24
ALLGUTH,21
BELL Oil,20
EDEKA,20
FELTA,20
Pludra,19
Jantzon Tankstelle,19
Mr. Wash Autoservice AG,19
Honsel,19
Lanfer Energie,18
Markant (Tankautomat),18
SUPOL,18
HERM,18
Lanfer,18
avanti,17
Mundorf Tank,17
Supermarkt C&C,16
Walther Automatenstation,16
Pinoil,16
ELO,16
Bft,16
Hessol,15
REWE,15
Bremer Mineralölhandel GmbH,15
Raiffeisen Mitte,14
Bergler,14
FAMILA,14
EC Tankstelle Rolfes,14
TAMOIL,13
PIN Service-Station,13
Raiffeisen-Landbund eG,13
Avia,13
REWE-Tankstelle,12
Zieglmeier Tankstelle,12
A Energie,12
Seitz Martin Tankstellen,11
EPT,11
SWE Südwestenergie GmbH,11
ORLEN,11
Kaufland,11
Raiffeisen Groß Lessen-Diepholz,11
E-Center,11
LEO,11
Wiro,11
BMÖ,10
Tankstelle Grüne,10
Schuster & Sohn KG,9
Raiffeisen Hunsrück,9
W. Dorst,9
frei,9
BURGER 24H,9
E Center,9
Raiffeisen Waren GmbH,9
Budget Oil,9
Winkler 24h,9
GREBE,8
famila tank,8
KÖHN & PLAMBECK,8
DELTIN,8
Kuster Energy,8
Leu Energie,8
Mengin,8
PM24,8
Freie Tankstelle Kaufmarkt,8
JOISS,8
WIKING,7
TinQ,7
Kaiser Energie,7
Frühmesser GmbH,7
SB Markt,7
Schillhorn Tankstelle,7
Pickelmann,7
Sigmund Hoffmann,7
Gulf,7
GS agri eG,7
Sunoil,7
TAP,7
EDi,7
SVG Düsseldorf,7
Raiffeisen EG,6
Markant Tankstelle,6
Heinrich Albers OHG,6
Argos,6
PM Xpress 24,6
EDi Hohenlohe,6
SB-Tanken,6
Raiffeisen Hatten eG,6
Hempelmann,5
Wengel&Dettelbacher,5
Joiss,5
LOMO,5
CITTI,5
TANKHOF GRÜN,5
Rakelbusch,5
SUED TREIBSTOFF,5
Raiffeisen Mansfeld,5
OKTAN,5
AHR,5
bft-Station,5
bft-Tankstelle,5
bft (Heimburger),4
myEnergy,4
BUNTE MINERALÖLHANDEL GMBH,4
SVG,4
Globus Baumarkt,4
CardTank 24,4
TAP PflipsenGroup,4
Freie+Tankstelle,4
RWG Bissel-Halenhorst eG,4
famila Nordost,4
TTM Meiwes,4
MU Mallasch & Uhlen,4
SB-Tank am HIT (Mundorf Tank),4
Sonstige,4
Ahlert Junior,4
SB Tankstelle,4
tankpool24,4
BFT Tankstelle,4
ECO,4
Deppe Freie Tankstellen,3
LTG,3
Freie Tankstelle Rolfes,3
Paul Fischer GmbH,3
HIT (Supermarkt TS),3
HMH,3
Raiffeisen Tankstelle,3
Schillhorn Tankstellen,3
West-Tank,3
1A Tank,3
Behrenswerth,3
MSS-VARO Energy,3
Winkler,3
Autol,3
City Tank,3
Gerhard Leger GmbH - freie Tankstelle,3
MTB Tankstelle,3
Fulmin,3
ADAP Tankstelle,3
Schonhoff Mineralöle,3
HAWA Flüssiggas GmbH,3
AS Mineralöle,3
LOOS,3
EXTROL,3
Trigema,3
Lenz,3
MINERA,3
Freie Tankstelle ,3
BFT-Tankstelle Kloiber GmbH,3
budget öl,3
MINOL,3
T Xpress,3
Classic Tankstelle,3
AVIAXpress,3
Elf,3
RUMAG Energy Tankstelle,3
Reibert,3
Richter Mineralöl GmbH & Co KG,3
Kuster Oil GmbH,2
AMB,2
Metank,2
GASOLIN,2
famila Nordwest,2
Citi Oil SB Tankstelle,2
Lakota-Reisen,2
Tankstelle Scharlibbe,2
Stolch / Tank-Netz,2
H. Sattler KG,2
T (Supermarkt TS),2
Edeka C + C,2
Marco Bungalski GmbH,2
M1 ,2
SB-Tankstelle,2
MLZ,2
Richter Pooltankstellen GmbH & Co.KG,2
BRANDOL,2
PM Xpress,2
bft-Tankstation,2
Tankstelle Lukosek,2
Ektra,2
Tank & Shop,2
bft-Tankstelle Hölker GmbH,2
Ruhe Agrar GmbH,2
Beducker,2
Haisch TankCenter,2
WISOIL GmbH,2
Piening Tankstelle,2
StarkStelle,2
CleanCar AG,2
Kattner\'s Freie Tankstelle GmbH,2
T & W,2
HMH Mineralöl Service,2
PLUDRA,2
Autowelt Bad Saulgau GmbH,2
nicht mehr aktiv,2
Orosol,2
CardTank24,2
LD Tankstelle,2
Brachthäuser,2
SB Tanken,2
freie,2
Eurotank,2
Gruber Freie Tankstelle,2
Autohaus Otto Menger GmbH & Co. KG,2
MHT,2
SPREVES,2
Ortlepp,2
BfT,2
Freie TS,2
Raimund Mineralöl GmbH,2
Raiffeisen Vogelsberg GmbH,2
Schrewe Vertriebs GmbH,2
GESCHLOSSEN,2
Freie ,2
RUMAG GmbH,2
Felsch Mineralöl,2
Tankstelle Bily GmbH & CO KG,2
SUN,2
Tankstelle Kassner GmbH,2
Ludger Brämswig GmbH,2
Pfeffer,2
Vorteil-Center,2
Tankpool24,2
WELTER,2
Mandler Tank & Wasch,2
C+C Markt,2
MTB Automatentankstelle,2
Stiegler,2
DEA,2
Preis,2
Nuttelmann Tankservice,2
Eberhardt,2
KTS GmbH,2
FIP,2
Weidemann-Tank,2
Tankstop 24h,2
Tank Plus,2
Freie Tankstelle Kuhl,2
ENI,2
Dieselmann,2
Tecklenburg Tankstelle,2
K+K,2
Freie/ESSOTankstelle,1
